fecha;hora;estacion;pasajeros
2014-04-16;19:00;Carabobo;328
2014-04-16;19:00;Plaza de Mayo;1491
2014-04-16;19:00;Piedras;551
2014-04-16;19:00;San Pedrito;407
2014-04-16;19:00;Primera Junta;381
2014-04-16;19:00;Castro Barros;396
2014-04-16;19:00;Flores;235
2014-04-16;19:00;Rio de Janeiro;414
2014-04-16;19:00;Peru;1061
2014-04-16;19:00;Loria;322
2014-04-16;19:00;Plaza Miserere;590
2014-04-16;19:00;Alberti;321
2014-04-16;19:00;Congreso;1052
2014-04-16;19:00;Puan;244
2014-04-16;20:00;Castro Barros;335
2014-04-16;20:00;Primera Junta;248
2014-04-16;20:00;Plaza de Mayo;755
2014-04-16;20:00;Congreso;709
2014-04-16;20:00;Alberti;247
2014-04-16;20:00;Lima;293
2014-04-16;20:00;San Pedrito;220
2014-04-16;20:00;Flores;142
2014-04-16;20:00;Plaza Miserere;328
2014-04-16;20:00;Puan;168
2014-04-16;20:00;Rio de Janeiro;278
2014-04-16;20:00;Carabobo;223
2014-04-16;20:00;Acoyte;392
2014-04-16;20:00;Saenz Peña;381
2014-04-16;20:00;Loria;220
2014-04-16;20:00;Piedras;300
2014-04-16;20:00;Pasco;149
2014-04-16;20:00;Peru;671
2014-04-16;21:00;Saenz Peña;391
2014-04-16;21:00;Plaza Miserere;182
2014-04-16;21:00;Castro Barros;270
2014-04-16;21:00;Lima;195
2014-04-16;21:00;San Pedrito;158
2014-04-16;21:00;Alberti;183
2014-04-16;21:00;Flores;99
2014-04-16;21:00;Plaza de Mayo;422
2014-04-16;21:00;Pasco;71
2014-04-16;21:00;Rio de Janeiro;194
2014-04-16;21:00;Piedras;198
2014-04-16;21:00;Carabobo;132
2014-04-16;21:00;Peru;407
2014-04-16;21:00;Congreso;571
2014-04-16;21:00;Primera Junta;131
2014-04-16;21:00;Loria;226
2014-04-16;21:00;Acoyte;213
2014-04-16;21:00;Puan;200
2014-04-16;22:00;Acoyte;73
2014-04-16;22:00;Flores;29
2014-04-16;22:00;Lima;115
2014-04-16;22:00;Peru;117
2014-04-16;22:00;Saenz Peña;114
2014-04-16;22:00;Loria;72
2014-04-16;22:00;Primera Junta;35
2014-04-16;22:00;San Pedrito;33
2014-04-16;22:00;Puan;17
2014-04-16;22:00;Rio de Janeiro;66
2014-04-16;22:00;Congreso;206
2014-04-16;22:00;Castro Barros;64
2014-04-16;22:00;Alberti;51
2014-04-16;22:00;Plaza Miserere;38
2014-04-16;22:00;Plaza de Mayo;168
2014-04-16;22:00;Piedras;72
2014-04-16;22:00;Carabobo;34
2014-04-16;22:00;Pasco;20
2014-04-16;23:00;Acoyte;1
2014-04-16;23:00;Alberti;2
2014-04-16;23:00;Congreso;2
2014-04-16;23:00;Rio de Janeiro;1
